Zip,School,Rating
44236,Ellsworth Hill Elementary School,4
44236,Hudson Middle School,9
44236,Hudson High School,9
44236,Mcdowell Elementary School,5
44305,Barber Community Learning Center,3
44305,Betty Jane Community Learning Center,4
44305,Seiberling Elementary School,4
44305,East Community Learning Center,2
44305,Summit Academy Community School For Alt Learners O,3
44305,Bridges Learning Center,1
44305,Summit Academy Secondary - Akron,3
44087,Twinsburg High School,7
44087,R B Chamberlin Middle School,7
44087,Geo G Dodge Elementary School,7
44087,Samuel Bissell Elementary School,8
44087,Wilcox Elementary School,4
44320,Buchtel High School,1
44320,Schumacher Academy Elementary School,2
44320,Crouse Community Learning Center,2
44320,The Lippman School,4
44320,Emmanuel Christian Academy,3
44320,Life Skills Center Of Summit County,1
44320,St. Sebastian Elementary School,5
44320,Imagine Leadership Academy,2
44067,St Barnabas School,4
44067,Northfield Elementary School,7
44067,Lee Eaton Elementary School,7
44067,Nordonia Middle School,8
44067,Rushwood Elementary School,6
44202,Valley Christian Academy,5
44202,Leighton Elementary School,8
44202,Aurora High School,9
44202,Harmon Middle School,9
44202,Craddock/Miller Elementary School,4
44223,Bolich Middle School,7
44223,Richardson Elementary School,6
44223,Immaculate Heart Of Mary School,3
44223,Summit Christian School,4
44223,Woodridge Primary Elementary School,4
44314,Sam Salem Community Learning Center,4
44314,Innes Community Learning Center,2
44314,Kenmore High School,1
44314,Lawndale Elementary School,3
44314,Pfeiffer Elementary School,4
44314,Rimer Community Learning Center,7
44314,Smith Elementary School,2
44333,St. Hilary Elementary School,5
44333,Fort Island Primary Elementary School,7
44333,Herberich Primary Elementary School,7
44333,Bath Elementary School,9
44333,Revere Middle School,10
44278,Dunbar Elementary School,5
44278,Munroe Elementary School,6
44278,Tallmadge High School,8
44278,Tallmadge Middle School,5
44278,Cornerstone Community School,5
44278,Main Street Academy,3
44241,Campus Intermediate Elementary School,5
44241,Streetsboro High School,5
44241,Streetsboro Middle School,5
44241,Wait Primary Elementary School,5
44241,Henry Defer Intermediate Elementary School,6
44321,Spring Garden Waldorf School,4
44321,Arrowhead Primary Elementary School,9
44321,Copley High School,8
44321,Copley-Fairlawn Middle School,6
44301,Firestone Park Elementary School,3
44301,Garfield High School,2
44301,McEbright Elementary School,2
44301,Voris Community Learning Center,3
44301,St Paul School,5
44260,St Joseph Elementary School,5
44260,Field High School,4
44260,Field Middle School,7
44260,Suffield Elementary School,7
44260,Mogadore High School,5
44260,O H Somers Elementary School,7
44260,Mogadore Junior High School,5
44260,Falcon Academy Of Creative Arts,4
44056,Ledgeview Elementary School,8
44056,Nordonia High School,7
44216,Grill Elementary School,6
44303,Judith A Resnik Community Learning Center,5
44303,Harris Elementary School,2
44303,King Elementary School,5
44303,Portage Path Community Learning Center,2
44303,St Vincent-St Mary High School,4
44303,St Vincent Depaul Elementary School,5
44286,Hillcrest Elementary School,8
44286,Revere High School,9
12180,Tamarac Elementary School,4
12180,Tamarac Middle School High School,6
12180,Bell Top School,7
12180,Carroll Hill School,2
12180,Ps 2,1
12180,Ps 14,6
12180,Ps 16,5
12180,Ps 18,5
12180,Troy High School,4
12180,W Kenneth Doyle Middle School,4
12180,La Salle Institute,5
12180,Emma Willard School,5
12180,Susan Odell Taylor School,5
12180,Sacred Heart School,4
12180,Redemption Christian Academy,4
12180,True North Troy Preparatory Charter School,8
12065,Acadia Middle School,9
12065,Arongen Elementary School,7
12065,Gowana Middle School,8
12065,Karigon Elementary School,7
12065,Koda Middle School,9
12065,Okte Elementary School,5
12065,Orenda Elementary School,7
12065,Shenendehowa High School,7
12065,Skano Elementary School,8
12065,Tesago Elementary School,8
12065,Saratoga Academy Of The Arts & Sciences,5
12065,St George's School,5
12065,Mother Teresa Academy,4
12065,Shatekon Elementary School,5
12065,The Sara Marie School,5
12866,Maple Avenue Middle School,7
12866,Caroline Street Elementary School,6
12866,Division Street Elementary School,7
12866,Dorothy Nolan Elementary School,8
12866,Geyser Road Elementary School,6
12866,Lake Avenue Elementary School,8
12866,Saratoga Springs High School,8
12866,St Clements Regional Catholic School,3
12866,Saratoga Central Catholic,3
12866,Waldorf School of Saratoga Springs,5
12866,Saratoga Independent School,5
12866,Waldorf School Of Saratoga Springs,5
12020,Ballston Spa Middle School,6
12020,Ballston Spa Senior High School,7
12020,Malta Avenue Elementary School,6
12020,Wood Road Elementary School,7
12020,Milton Terrace South Elementary School,6
12020,St Mary S School,5
12020,Spa Christian School,5
12020,Milton Terrace North Elementary School,5
12203,Albany High School,3
12203,Pine Hills Elementary School,2
12203,Eagle Point Elementary School,2
12203,Westmere Elementary School,7
12203,Lasalle School,3
12309,Birchwood Elementary School,8
12309,Van Antwerp Middle School,7
12309,Craig Elementary School,7
12309,Hillside School,7
12309,Niskayuna High School,8
12309,Rosendale School,7
12309,Iroquois Middle School,8
12309,Howe Early Childhood Educational Center,4
12309,St Helens School,4
12303,Draper Middle School,4
12303,Mohonasen Senior High School,5
12303,Herman L Bradt Elementary School,4
12303,Pinewood Elementary School,4
12303,Lynnwood Elementary School,7
12303,Pine Bush Elementary School,8
12303,Hamilton Elementary School,3
12303,Mont Pleasant Middle School,2
12303,Pleasant Valley School,1
12303,St Madeleine Sophie School,5
12303,Wildwood School,5
12205,Montessori Magnet School,6
12205,Colonie Central High School,7
12205,Sand Creek Middle School,6
12205,Veeder Elementary School,5
12205,Lisha Kill Middle School,6
12205,Forest Park Elementary School,5
12205,Roessleville School,5
12205,Saddlewood Elementary School,8
12205,Christian Brothers Academy,5
12205,Bet Shraga Hebrew Academy,5
12205,Our Savior's Lutheran School,5
12302,Pashley Elementary School,6
12302,Glendaal School,7
12302,Lincoln School,6
12302,Sacandaga School,4
12302,Scotia Glenville Senior High School,6
12302,Scotia Glenville Middle School,5
12302,Glen Worden Elementary School,7
12302,Mekeel Christian Academy,4
12302,Oak Hill School,4
12306,Jefferson Elementary School,5
12306,Schalmont Middle School,6
12306,Schalmont High School,6
12306,Van Corlaer School,3
12306,Fulton Early Childhood Center,5
12208,Academy of The Holy Names,4
12208,New Scotland Elementary School,4
12208,Mater Christi School,5
12208,Maimonides Hebrew Day School,5
12208,Neil Hellman School/Parsons Child & Family Center,1
12208,Albany Leadership Charter High School For Girls,3
12047,Abram Lansing School,4
12047,Cohoes High School,3
12047,Cohoes Middle School,6
12047,Van Schaick Island School,5
12047,Harmony Hill School,5
12047,Boght Hills School,7
12144,Red Mill School,9
12144,Rensselaer Junior Senior High School,4
12144,Van Rensselaer Elementary School,2
12144,The Doane Stuart School,4
12144,Woodland Hill Montessori School,5
12304,Lincoln School,1
12304,Paige School,2
12304,Woodlawn School,4
12304,Notre Dame-Bishop Gibbons School,5
12304,Brown School,5
12304,Annur Islamic School,4
12304,William C Keane Elementary School,2
12304,Central Park International Magnet School,4
12189,Watervliet Elementary School,5
12189,Watervliet Junior Senior High School,4
12110,Blue Creek School,7
12110,Forts Ferry School,6
12110,Latham Ridge School,7
12110,Shaker High School,8
12110,Shaker Junior High School,7
12110,St Ambrose School,4
12110,Latham Christian Academy,4
12054,Bethlehem Central Middle School,8
12054,Bethlehem Central Senior High School,9
12054,Elsmere Elementary School,6
12054,Hamagrael Elementary School,6
12054,Slingerlands Elementary School,7
12054,St. Thomas the Apostle School,5
12054,Eagle Elementary School,6
12831,Ballard Elementary School,6
12118,Mechanicville Elementary School,5
12118,Mechanicville Junior Senior High School,4
12182,Knickerbacker Middle School,3
12182,Lansingburgh Senior High School,4
12182,Rensselaer Park Elementary School,2
12182,Turnpike Elementary School,5
12182,Catholic Central High School,4
12182,St Augustines School,5
12019,Charlton Heights Elementary School,8
12019,Francis L Stevens Elementary School,7
12019,Chango Elementary School,10
12308,Elmer Avenue School,4
12308,Jessie T Zoller School,5
12308,Schenectady High School,3
12308,Yates School,2
12188,Waterford Elementary School,4
12188,Waterford Junior Senior High School,5
12211,Loudonville School,8
12211,Southgate School,8
12211,Shaker Road Elementary School,7
12211,Loudonville Christian School,5
12211,Saint Gregory's School,5
12209,Delaware Community School,4
12209,Albany School Of Humanities,2
12209,Stephen And Harriet Myers Middle School,3
12061,Citizen Edmond Genet School,5
12061,Columbia High School,8
12061,Howard L Goff School,7
12803,Harrison Avenue Elementary School,5
12803,Moreau Elementary School,7
12803,Oliver W Winch Middle School,6
12803,South Glens Falls Senior High School,6
12803,Tanglewood Elementary School,6
12033,Green Meadow School,6
12033,Castleton Elementary School,6
12033,Maple Hill Middle School,6
12033,Maple Hill High School,7
12198,Gardner Dickinson School,6
12198,St Jude The Apostle School,4
12198,Robert C Parker School,5
12018,Algonquin Middle School,6
12018,Averill Park High School,5
12018,Sand Lake Miller Hill School,7
12009,Altamont Elementary School,6
12009,Guilderland High School,8
12077,Glenmont Elementary School,7
12077,Mt Moriah Academy,5
12822,Corinth High School,5
12822,Corinth Middle School,5
12822,Corinth Elementary School,5
12123,Donald P Sutherland School,8
87111,Eisenhower Middle School,9
87111,Eldorado High School,8
87111,Hoover Middle School,6
87111,Madison Middle School,7
87111,Mitchell Elementary School,5
87111,Osuna Elementary School,8
87111,S. Y. Jackson Elementary School,9
87111,Sombra Del Monte Elementary School,3
87111,Hubert H Humphrey Elementary School,10
87111,Georgia O'keeffe Elementary School,9
87111,Sunset Mesa Schools,4
87111,Design For Learning Differences School,5
87111,Sandia Montessori School Of Albuquerque,4
87111,Hope Connection School,4
87111,Shepherd Lutheran,5
87111,Eastern Hills Christian Academy,5
87114,Cibola High School,8
87114,Petroglyph Elementary School,8
87114,Sierra Vista Elementary School,6
87114,Taylor Middle School,4
87114,Chamiza Elementary School,8
87114,Alameda Elementary School,4
87114,Paradise Christian School,4
87114,Victory Christian School,4
87114,Mountain View Private Elementary,5
87114,Seven-Bar Elementary School,6
87114,James Monroe Middle School,8
87114,Ventana Ranch Elementary School,8
87114,Volcano Vista High School,9
87114,Sunset View Elementary School,7
87114,North Valley Academy,4
87114,Chinook Spirit Children's Academy,5
87120,L B Johnson Middle School,6
87120,Marie M Hughes Elementary School,7
87120,Susie R. Marmon Elementary School,3
87120,Crestview Christian Academy,4
87120,The Church Christian Academy,3
87120,Bosque School,4
87120,St. Pius X High School,4
87120,Desert Hills School,5
87120,Creative Ed Prep #1,3
87120,La Promesa Early Learning,2
87120,Cross of Hope Elementary School,5
87120,Tierra Antigua Elementary School,7
87120,Horizon Academy West,6
87120,Tony Hillerman Middle School,7
87121,Carlos Rey Elementary School,4
87121,Truman Middle School,3
87121,Western Heights Christian School,5
87121,Abundant Life Christian School,4
87121,La Academia De Esperanza,1
87121,Edward Gonzales Elementary School,3
87121,First Fruits Christian Academy,3
87121,Legacy Academy,4
87121,Atrisco Heritage Academy High School,6
87121,Rudolfo Anaya Elementary School,4
87121,SW Aeronautics Mathematics and Science Academy,5
87124,Gospel Light Baptist Academy,5
87124,Rio Rancho Elementary School,6
87124,Puesta Del Sol Elementary School,6
87124,Lincoln Middle School,7
87124,Martin King Jr Elementary School,8
87124,Ernest Stapleton Elementary School,7
87124,Eagle Ridge Middle School,6
87124,Rio Rancho High School,9
87124,St Thomas Aquinas School,3
87124,Independence High School,1
87124,Rio Rancho Cyber Academy,5
87124,Maggie Cordova Elementary School,6
87124,The Ask Academy,10
87124,LEAP International Montessori School,5
87109,Arroyo Del Oso Elementary School,8
87109,New Mexico International School,9
87109,Edmund G Ross Elementary School,4
87109,Dennis Chavez Elementary School,10
87109,Albuquerque Academy,4
87109,Evangel Christian Academy,4
87109,Albuquerque Christian School,5
87109,Jewish Academy of Arts & Sciences,4
87109,Hope Christian School,4
87109,Pathways Academy,4
87109,Alice King Community School,7
87109,Helen Cordero Primary School,3
87109,Nex Gen Academy,7
87109,The GREAT Academy,4
87109,Sage Montessori Charter School,3
87109,Oak Grove Classical Academy,5
87109,Sage Montessori Charter School,2
87109,Coral Community Charter,7
87109,Explore Academy,9
87112,Acoma Elementary School,3
87112,Bellehaven Elementary School,5
87112,Chelwood Elementary School,4
87112,Collet Park Elementary School,5
87112,Eubank Elementary School,3
87112,Grant Middle School,4
87112,Hawthorne Elementary School,2
87112,Jackson Middle School,7
87112,John Baker Elementary School,8
87112,Manzano High School,6
87112,Matheson Park Elementary School,7
87112,Mc Collum Elementary School,6
87112,Onate Elementary School,9
87112,Calvary Christian Academy,4
87112,Southwest Secondary Learning Center,7
87112,Public Academy For Performing Arts,8
87112,Southwest Primary Learning Center,9
87112,Abq School Of Excellence,7
87112,Southwest Intermediate Learning Center,8
87105,John Adams Middle School,4
87105,Adobe Acres Elementary School,3
87105,Alamosa Elementary School,3
87105,Apache Elementary School,4
87105,Armijo Elementary School,2
87105,Atrisco Elementary School,2
87105,Barcelona Elementary School,2
87105,Chaparral Elementary School,6
87105,Ernie Pyle Middle School,3
87105,Harrison Middle School,3
87105,Kit Carson Elementary School,2
87105,Lavaland Elementary School,2
87105,Los Padillas Elementary School,2
87105,Navajo Elementary School,2
87105,Pajarito Elementary School,3
87105,Polk Middle School,3
87105,Rio Grande High School,4
87105,School On Wheels,5
87105,Valle Vista Elementary School,4
87105,West Mesa High School,4
87105,Maryann Binford Elementary School,2
87105,South Valley Academy,3
87105,Jimmy Carter Middle School,3
87105,Nuestros Valores Charter School,1
87105,El Camino Real Academy,2
87105,New America School,1
87105,South Valley Preparatory School,4
87105,Health Leadership High School,1
87123,Kennedy Middle School,2
87123,Tomasita Elementary School,4
87123,Manzano Mesa Elementary School,6
87123,Gilbert L Sena Charter High School,3
87110,Bel-Air Elementary School,4
87110,Comanche Elementary School,5
87110,Del Norte High School,4
87110,Gov Bent Elementary School,2
87110,Hayes Middle School,2
87110,Hodgin Elementary School,3
87110,Inez Elementary School,8
87110,Mark Twain Elementary School,6
87110,Sandia High School,8
87110,New Futures School,4
87110,Zuni Elementary School,4
87110,The Family School,3
87110,Mc Kinley Middle School,2
87110,Cleveland Middle School,6
87110,Queen Of Heaven School,4
87110,Our Lady Of Fatima Elementary School,4
87110,Annunciation Elementary School,4
87110,Christ Lutheran School,4
87110,Vision Quest Alt Middle School,2
87110,The Alb Talent Development Charter School,2
87110,Temple Baptist Academy,4
87110,Salam Academy,4
87110,Early College Academy,5
87110,Bataan Charter School,4
87110,Ecademy Virtual High School,3
87108,Emerson Elementary School,2
87108,Highland High School,4
87108,La Mesa Elementary School,3
87108,Van Buren Middle School,2
87108,Whittier Elementary School,2
87108,Wilson Middle School,3
87108,Zia Elementary School,6
87108,Holy Ghost Catholic School,4
87108,Our Lady Of The Assumption Catholic School,4
87108,Cesar Chavez Community  Center,1
87108,Native American Community Academy,4
87108,Media Arts Collaborative Charter School,6
87031,Los Lunas Elementary School,5
87031,Raymond Gabaldon Elementary School,5
87031,Los Lunas High School,6
87031,Los Lunas Middle School,8
87031,Valencia Middle School,7
87031,Ann Parish Elementary School,4
87031,Katherine Gallegos Elementary School,9
87031,Valencia Elementary School,7
87031,Desert View Elementary School,5
87031,Tome Elementary School,6
87031,Los Lunas Family School,4
87031,Valencia High School,4
87031,Sundance Elementary School,8
87031,School Of Dreams Academy,4
87144,Mountain View Middle School,8
87144,Colinas Del Norte Elementary School,5
87144,Enchanted Hills Elementary School,8
87144,Vista Grande Elementary School,7
87144,Rio Rancho Middle School,8
87144,V Sue Cleveland High School,9
87144,Cielo Azul Elementary School,7
87144,Sandia Vista Elementary School,6
87107,Alvarado Elementary School,6
87107,Cochiti Elementary School,3
87107,Douglas Macarthur Elementary School,7
87107,Freedom High School,5
87107,Garfield Middle School,3
87107,Griegos Elementary School,7
87107,La Luz Elementary School,2
87107,Mission Avenue Elementary School,5
87107,Los Ranchos Elementary School,3
87107,Taft Middle School,6
87107,Valley High School,5
87107,Mac Arthur Elementary School,3
87107,St Therese Catholic School,4
87107,Menaul School,4
87107,Twenty-First Century,6
87107,Los Puentes Charter School,2
87107,Digital Arts And Technology,5
87107,Montessori Elementary School,8
87107,Mountain Mahogany Community School,5
87107,Sequoyah,1
87107,Cottonwood Classical Prep,7
87106,Bandelier Elementary School,9
87106,Jefferson Middle School,5
87106,Kirkland Elementary School,3
87106,Lowell Elementary School,1
87106,Monte Vista Elementary School,7
87106,Montezuma Elementary School,2
87106,St Charles Borromeo Elementary School,4
87106,Robert F. Kennedy Charter School,5
87106,Albuquerque Institute Of Math & Science,8
87106,Academy Of Trades And Tech,1
87106,Presbyterian Ear Institute Oral School,5
87106,La Resolana Leadership,5
87106,Cien Aguas International,6
87106,International School At Mesa Del Sol,5
87106,Tierra Adentro,6
87106,Mission Achievement & Success Charter School,6
87106,College and Career High School,9
87102,Albuquerque High School,7
87102,Lew Wallace Elementary School,4
87102,Dolores Gonzales Elementary School,6
87102,East San Jose Elementary School,2
87102,Eugene Field Elementary School,2
87102,Longfellow Elementary School,6
87102,Mountain View Elementary School,2
87102,Washington Middle School,3
87102,Abq Sign Language Academy,3
87102,St Mary's School,3
87102,Immanuel Lutheran School,5
87102,Escuela Del Sol Montessori,4
87102,Escuela Del Sol Montessori School,5
87102,Coronado Elementary School,8
87102,Amy Biehl Charter High School,6
87102,Christine Duncans Heritage Academy,3
87102,Gordon Bernell Charter School,5
87002,Belen High School,5
87002,Belen Middle School,4
87002,Central Elementary School,5
87002,Dennis Chavez Elementary School,5
87002,Gil Sanchez Elementary School,5
87002,Jaramillo Elementary School,4
87002,Rio Grande Elementary School,5
87002,La Merced Elementary School,5
87002,St Mary's Catholic School Belen,5
87002,La Promesa Elementary School,3
87002,The Family School,8
87122,La Cueva High School,10
87122,Double Eagle Elementary School,10
87113,Sandia Preparatory School,5
87113,Corrales International,7
87104,Duranes Elementary School,5
87104,Reginald Chavez Elementary School,4
87104,San Felipe De Neri School,3
87104,Manzano Day School,4
87104,Montessori Of The Rio Grande,4
87104,School For Integrate,5
87104,Ace Leadership High School,2
87004,Bernalillo High School,2
87004,Bernalillo Middle School,4
87004,Bernalillo Elementary School,4
87004,Santo Domingo Elementary School,3
87004,Santo Domingo Middle School,2
87004,Wd Carroll Elementary School,5
87048,Corrales Elementary School,7
87048,Cottonwood Montessori School,4
87048,Sandia View Elementary School,5
87048,Sandia View Academy,2
87059,A. Montoya Elementary School,6
87059,Roosevelt Middle School,9
87059,Holy Child Catholic School,5
87043,Placitas Elementary School,9
87047,San Antonito Elementary School,10
87047,East Mountain High School,9
18103,Hiram W Dodd El School,4
18103,Jefferson El School,3
18103,Lehigh Park El School,3
18103,Roosevelt Elementary School,3
18103,South Mountain Middle School,3
18103,Western Salisbury El School,5
18103,Salisbury Senior High School,7
18103,Salisbury Middle School,4
18103,Harry S Truman El School,4
18103,St Thomas More School,4
18103,The Swain School,4
18103,Lehigh Christian Academy,4
18103,ARTS ACADEMY CS,2
18104,Muhlenberg El School,5
18104,Union Terrace El School,2
18104,Francis D Raub Middle School,2
18104,William Allen High School,2
18104,Cetronia School,8
18104,Parkway Manor School,8
18104,Kratzer School,8
18104,Parkland Senior High School,7
18104,St John Vianney Regional School,5
18104,Jewish Day School Of The Lehigh Valley,3
18104,Lehigh Valley Christian High School,5
18104,Springhouse Middle School,9
18104,Lifespan School & Daycare,5
18102,Mckinley El School,2
18102,Washington El School,2
18102,Central El School,3
18102,Trexler Middle School,2
18102,Sheridan El School,3
18102,Cleveland El School,3
18102,Sacred Heart School,3
18102,Central Catholic High School,3
18102,Roberto Clemente Cs,4
18102,Luis A. Ramos El School,3
18042,March El School,4
18042,Cheston El School,4
18042,Paxinosa El School,2
18042,Williams Township El School,5
18042,Wilson Area High School,8
18042,Wilson Area Intermediate School,5
18042,Wilson Borough El School,9
18042,St Jane Frances De Chantal School,5
18042,Avona El School,7
18042,Family Ymca Early Childhood Development Center,4
18017,James Buchanan El School,4
18017,Lincoln El School,4
18017,Governor Wolf El School,4
18017,Spring Garden El School,4
18017,Marvine El School,3
18017,Freemansburg El School,3
18017,Hanover El School,8
18017,East Hills Middle School,4
18017,Asa Packer El School,6
18017,St. Anne School,4
18017,Bethlehem Catholic High School,3
18017,Lehigh Valley Academy Regional Cs,6
18017,Centennial School Lehigh Univ,5
18018,Calypso El School,6
18018,Clearview El School,4
18018,Northeast Middle School,5
18018,Nitschmann Middle School,5
18018,Liberty High School,4
18018,Thomas Jefferson El School,5
18018,William Penn El School,3
18018,Notre Dame Of Bethlehem School,5
18018,Seton Academy,4
18018,Gateway School Of Lehigh Valley,5
18018,Lehigh Valley Charter High School for the Arts,8
18018,St Nicholas Greek Orthodox Academy,5
07840,Hackettstown High School,6
07840,Hackettstown Middle School,6
07840,Hatchery Hill Elementary School,8
07840,Willow Grove Elementary School,8
08865,Alpha School,4
08865,Harmony Township School,5
08865,Lopatcong Elementary School,7
08865,Phillipsburg High School,6
08865,Andover-Morris Elementary School,5
08865,Barber Elementary School,5
08865,Freeman Elementary School,3
08865,Green Street Elementary School,4
08865,Phillipsburg Middle School,3
08865,Phillipsburg Christian Academy,4
08865,Pohatcong School,5
08865,Lopatcong Twp Middle School,6
18015,Broughal Middle School,2
18015,Donegan El School,2
18015,Fountain Hill El School,2
18015,Holy Infancy School,3
18015,Lehigh Valley Dual Language Charter School,3
18015,Southern Lehigh Intermediate School,9
18052,Whitehall High School,6
18052,Whitehall-Coplay Middle School,5
18052,George D Steckel El School,5
18052,Clarence M Gockley El School,4
18052,St. Elizabeth Regional School,5
18052,Lehigh Valley Sda School,5
18052,Lehigh Valley Lutheran School,5
18052,Manarah Islamic Academy,5
18052,Zephyr El School,7
18045,Farmersville El School,5
18045,Palmer El School,4
18045,Easton Area High School,5
18045,Tracy El School,7
18045,Notre Dame High School,3
18045,Childrens Garden,5
18045,Easton Baptist Academy,5
18064,Bushkill El School,7
18064,Shafer El School,6
18064,Nazareth Area Middle School,8
18064,Nazareth Area High School,8
18064,Lower Nazareth El School,5
18064,Plainfield El School,5
18064,Holy Family Elementary School,4
18064,Lehigh Learning Academy,5
18064,Nazareth Area Intermediate School,7
18062,Lower Macungie Middle School,6
18062,Eyer Middle School,7
18062,Macungie El School,7
18062,Shoemaker El School,8
18062,Salem Christian School,4
18062,The Hillside School,4
18062,Willow Lane El School,8
18067,Catasauqua Senior High School,4
18067,Northampton Borough El,5
18067,Northampton Area High School,6
18067,Northampton Middle School,6
18067,Good Shepherd Catholic School,5
18067,The Lutheran Academy,4
18235,Shull-David El School,6
18235,Mahoning El School,6
18235,East Penn El School,7
18235,Franklin El School,4
18235,Lehighton Area Middle School,6
18235,Lehighton Area High School,6
18235,Towamensing El School,7
18235,Educare Of Pa,5
18235,Packer Ridge Academy,1
18049,Lincoln El School,6
18049,Jefferson El School,8
18049,Emmaus High School,8
18049,St Ann Elementary School,4
18049,Seven Generations Charter School,3
18020,Miller Heights El School,6
18020,Freedom High School,4
18020,Our Lady Of Perpetual Help School,5
18020,Bethlehem Christian School,5
18020,Moravian Academy Upper School,3
18020,Chesterbrook Academy Bethlehem - Township Line,3
18109,Mosser El School,2
18109,Ritter El School,4
18109,Louis E Dieruff High School,2
18109,Our Lady Help Of Christians School,4
18109,Lincoln Leadership Academy Charter School,3
18109,Life Academy,5
18013,Washington El School,4
18013,Bangor Area High School,5
18013,Five Points El School,5
18013,Bangor Area Middle School,4
18013,Defranco El School,6
18013,Our Lady Of Mt Carmel School,4
18013,Faith Christian School,5
18040,Forks El School,7
18040,Shawnee El School,6
07882,Franklin Township School,6
07882,Warren Hills Reg High School,6
07882,Warren Hills Reg Midd School,4
07882,Washington Memorial Elementary School,3
07882,Taylor Street Elementary School,2
07882,Brass Castle Elementary School,6
07882,Port Colden Elementary School,4
07882,Warren County Institute Vocational School,5
07882,Good Shepherd Christian Academy,5
18036,Lower Milford El School,5
18036,Liberty Bell El School,7
18036,St. Michael the Archangel School,5
18055,Saucon Valley El School,5
18055,Saucon Valley Senior High School,8
18055,Saucon Valley Middle School,7
18055,St Theresa School,4
18080,Peters El School,4
18080,Northern Lehigh Senior High School,5
18080,Slatington El School,5
18080,Northern Lehigh Middle School,4
18071,Palmerton Area High School,6
18071,Palmerton Area Junior High School,3
18071,S S Palmer El School,4
18031,Fogelsville School,8
18031,Fred J. Jaindl El School,9
18229,Jim Thorpe Area Senior High School,6
18229,L B Morris El School,4
18229,Carbon Career & Technical Institute,6
18229,St Joseph Regional Academy,5
18210,Penn/Kidder Campus,5
18088,Lehigh Twp El School,5
07825,Ridge and Valley Charter School,6
07825,Blairstown Elementary School,5
07825,N Warren Reg High School,6
07825,Blair Academy,5
07823,Belvidere High School,5
07823,Oxford Street Elementary School,4
07823,Third Street Elementary School,4
07823,White Township Consolidated Elementary School,6
18034,Southern Lehigh Senior High School,8
18034,Southern Lehigh Middle School,7
18034,Hopewell El School,5
18072,Wind Gap Middle School,5
18072,Pen Argyl Area High School,4
18072,Immaculate Conception School,5
08886,Stewartsville School,8
08886,Greenwich School,8
79109,Amarillo High School,6
79109,Austin Middle School,4
79109,Bonham Middle School,8
79109,Coronado Elementary School,5
79109,Paramount Terrace Elementary School,7
79109,Puckett Elementary School,8
79109,Ridgecrest Elementary School,7
79109,Western Plateau Elementary School,5
79109,Wolflin Elementary School,5
79109,Windsor Elementary School,9
